title,company,location,how old,link
Programador Python,E-Soft Sistemas,Remoto,há 5 dias,https://br.indeed.com/rc/clk?jk=1dbfc046667dbf0d&fccid=30fd0cfc920496be&vjs=3
(REMOTO) Desenvolver(a) Júnior Python - Backend,Turivius,Remoto,há 6 dias,https://br.indeed.com/rc/clk?jk=a46b381f75c90688&fccid=3cc6dd645fbc9f34&vjs=3
desenvolvedor Python Junior,Mazzatech,Remoto,há 6 dias,https://br.indeed.com/rc/clk?jk=cb258052189af34d&fccid=7d320c75db933aec&vjs=3
Desenvolvedor Backend Python (Pleno),Plus-IT Consulting,"Campinas, SP",Recém publicada,https://br.indeed.com/rc/clk?jk=e57abffbf22b9476&fccid=18029a0d1b99cbb7&vjs=3
ESTÁGIO EM DATA ANALYTICS,Bemol Digital,Remoto,há 19 dias,https://br.indeed.com/rc/clk?jk=b57c07ec4ac47c6a&fccid=4e50a5299dcb0b8e&vjs=3
Programador python,CAVOK AVIAÇÃO,"Pinhais, PR",há 4 dias,https://br.indeed.com/rc/clk?jk=b240d50c66828c21&fccid=ea666f11ce6a4f11&vjs=3
Desenvolvedor(a) Python,Skyone Solutions,Remoto,há 6 dias,https://br.indeed.com/rc/clk?jk=82e1a1ab67a4256d&fccid=ae2f7e2322093cf7&vjs=3
Estágio em Desenvolvimento Back-end - Python - Curitiba/PR,ROIT,"Curitiba, PR",há 26 dias,https://br.indeed.com/rc/clk?jk=c78787eb3e7bb27d&fccid=881947d7f3319cbd&vjs=3
Backend Developer (Python/Arquiteto),Serasa,"Blumenau, SC",há 11 dias,https://br.indeed.com/rc/clk?jk=f171014ee843f665&fccid=75a3a5a15b202084&vjs=3
Analista Desenvolvedor - Python,TAKING,"Limeira, SP",há 9 dias,https://br.indeed.com/rc/clk?jk=d3a3d27b850fc341&fccid=54d424b6e8c4e1e7&vjs=3
Python Backend Engineer (Remote-LATAM),Loadsmart,"Recife, PE",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=adb4f27cc599e1c3&fccid=bf02915605893e1a&vjs=3
Backend Developer (Python),Serasa,"Blumenau, SC",há 5 dias,https://br.indeed.com/rc/clk?jk=e9994fc9d0429687&fccid=75a3a5a15b202084&vjs=3
ESTÁGIO: DESENVOLVEDOR DE SOFTWARE,Natural English,"Brasília, DF",há 4 dias,https://br.indeed.com/rc/clk?jk=f4ee1e18f15f2708&fccid=e7ec8e2bc74d6586&vjs=3
Cientista de Dados pleno (remoto) Python,GeekHunter,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=30fe7bbcad8070e3&fccid=9ba8dec3013c0c90&vjs=3
PROGRAMADOR JÚNIOR - PYTHON,Grupo 3 Corações - Recrutamento Externo,"Eusébio, CE",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=d378cb49ca5aaf04&fccid=b253245e5e1e3958&vjs=3
Programa Trainee Tecnologia da Informação em Manufatura 2021,Vem mobilizar sonhos com a gente!,"Camaçari, BA",há 4 dias,https://br.indeed.com/rc/clk?jk=77ae20e17cb6f36c&fccid=44b60efe259288a2&vjs=3
Software QE,Wiley,"Curitiba, PR",Recém publicada,https://br.indeed.com/rc/clk?jk=3d985ca4afd04e6d&fccid=bee6abba453010ff&vjs=3
Pipeline - Operations Specialist - 99 Food,99,Brasil,há 5 dias,https://br.indeed.com/rc/clk?jk=6ec48cdcca7e67c6&fccid=7c874ded2b2c6886&vjs=3
Desenvolveder Python Junior/Pleno,Zallpy Digital,"Florianópolis, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=33b6ba783298e586&fccid=2ac78f54db705d75&vjs=3
Pessoa Desenvolvedora Full-Stack Estágio - Remoto,V360,Remoto,há 3 dias,https://br.indeed.com/rc/clk?jk=827f1a9072429c2b&fccid=415aeffc7267b54f&vjs=3
Pessoa Desenvolvedora de Software (Python),Liber Capital,"São Carlos, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=5043b604c99cdf14&fccid=1a2fb53435c12483&vjs=3
ESTAGIARIO ESTATÍSTICA,Bild Desenvolvimento Imobiliário,"Ribeirão Preto, SP",há 2 dias,https://br.indeed.com/rc/clk?jk=81bec5862c51086b&fccid=031362d948698b1a&vjs=3
Pessoa Desenvolvedora Backend PLENO (python / django) - Remoto,Cherry IT,Remoto,há 9 dias,https://br.indeed.com/rc/clk?jk=72aa11a751eac12d&fccid=925782ed920dd816&vjs=3
Bolsista Programa Inova Talentos,INSTITUTO EUVALDO LODI,Brasil,há 2 dias,https://br.indeed.com/rc/clk?jk=52c2fb6a91fd0c16&fccid=1cbca0579d4bc836&vjs=3
Machine Learning Engineer,Hagloo,Remoto,há 13 dias,https://br.indeed.com/rc/clk?jk=b38a07f868c6b9fc&fccid=2f967bb1c5335960&vjs=3
Python Developer,Globant,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=f753a32f65aefd7f&fccid=34ea81fd9e91a411&vjs=3
Desenvolvedor NodeJs/Python,CPQI,"São Paulo, SP",há 3 dias,https://br.indeed.com/rc/clk?jk=26be760ed7243d82&fccid=128762ebf7553224&vjs=3
Data Science Jr Analyst | CS | Campinas/ SP,Bayer,"Campinas, SP",há 3 dias,https://br.indeed.com/rc/clk?jk=5c9c723af11a8258&fccid=e08122e0e993cc32&vjs=3
Desenvolvedor Python,Grupo Mult,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=8dff6680697e90fc&fccid=e2fac9bfc0cf550e&vjs=3
Desenvolvedor Python Pleno/Sênior,Consolide Registro de Marcas,"Araranguá, SC",há 6 dias,https://br.indeed.com/rc/clk?jk=ef49ac495a61b76c&fccid=f5c5fafd86f21641&vjs=3
